Intakt CD 207,1
Rebel Records 1549,1
New Albion (CD NA018),1
London OS 25937,1
CD: New World Records 80464-2,1
05472-77383-2,1
Astrée AS 59,3
United Artists (UAS 6262),2
Erato 0630-12980-2,1
CHAN 8680,3
Mercury/Polydor,1
Sony Classical: F Q S2K58955,1
OR 348,2
Pangea,2
ambroisie AM105 (CD),4
Quinton Records,1
Native Ground Music,1
V Disc 1948,1
"Musical Observations, Inc.",1
Stones Throw Records (STH2224),1
LP Deutsche Grammophon,1
Prestige 11/13/53,1
MS 6517,1
Contmporary,1
psi cd 02.02,1
Centredisques CMCCD 9403,1
Emanem 5027,2
Marco Polo,3
Other Voices,1
Mandala Studio,1
Spruce & Maple Music,1
Inner City LP 2027,1
WKCR Exclusive,1
Yangki,1
MCA-2350,4
Horo,8
Nonesuch [H-71258],1
ACL 153,1
Tesco Organization,2
Wobby Rail Records,1
JSP CD 324,6
Soul Jazz Records (SJR LP98),1
Jazz Anthology/Musidisc,1
CPO 777 767-2,1
"deutsche harmonia mundi (CD, 05472-77394-2)",1
CBS 21112,2
CBS Masterworks MP 38763,1
"""     """,2
Survival Records Limited,4
ML 4519,1
60446-2-RC,2
CD / Enki,1
LP (CBS Masterworks 36670),1
Low Electrical Records,2
Emanem (CD 4095),1
Domino Records,1
Incus,30
Master Works,3
RCA RC 350,1
Trip Jazz (reissue),1
Rhino Enterntainment,1
Nostalgia 7601,2
Stop Records,1
ECM New Series 1753 289 461 782-2,1
Ellipsis Arts (CD 4010,1
Summit,6
Philips 410 426-1 (LP),1
ASV (CD GAU 186),1
Verve (1995),7
Roulette Birdland(R 52026),1
Black Saint BSR 0013,1
"Pacific Force, Inc.",1
Bridge 9113 (CD),2
Reprise Records,13
CD / ECM New Series 1711,1
RCA LCT 1137,1
CBS 37873,1
Revenge! Records,1
Decca ECS 629,1
Middle James Co.,1
Medusa,1
Folk-Legacy FSI-80,9
CD (ECR 0803016),2
Loris,1
LPM-2024,2
Rough House Productions,1
ARC Music Productions,5
CD/ Cedille Records,1
Harmonia Mundi 907238,8
Verve6-8768,1
Discos Corasón (WDC050),1
Universal South,2
Columbia (GQ 30954),1
Muworks,3
Centredisques CMCCD 7501,1
Muse MR5081,1
CD/ Meg recordings,1
Disques Montaigne MO 789002,1
Alamac (QSR 2447),1
JACD 014,1
ASV (LP DCA 514),1
VCD,1
Telarc Jazz CD-83393,1
Beehive,6
Cubitas,3
Pandora,1
Backbeat Records,2
Denon OX-7066-ND,2
ECM 1658 289 453 841-2 (CD),1
Ak-Ba Records,7
Encore,6
Blue Note 4227,1
Columbia (PC 9750),1
LP (Sason Records 003),2
Pimienta (245 360 559-2),1
Edition RZ,2
Savoy 537,1
For4Ears 1549,1
Bluebird 8084,1
Savoy 530,1
ASD 2356,1
Recommended Records,4
"Sony Classical (CD, SK 57968)",1
Random Radar,1
Country Classics,1
"Astrée Audivis/Naïve (CD, E8805)",1
London 977,1
Alchemy,19
harmonia mundi 907273,2
Prestige OJC-099,2
CD / Black Box Label,1
Black And Blue BB 33008,1
Bluebird B-7347,1
5522 R53-1036,1
BG-577,3
Playscape Recordings,11
"Elektra Nonesuch, CD, 9 79257-2",2
Barnaby Records,8
EMI Classics 0777 7 64947 2 2,3
Arch Inc.,1
Anzic Records,7
Metier MSV CD92011,1
CD / Sony Classical,3
Newport Classic,6
De-Lite,6
L - NE,2
Metronome 1009,2
Creative Sources,3
Composers Recordings,22
Chandos (CHAN 8807),1
London 425 467-2,1
Cheeses International CI03,1
LIN Records,1
CD: Surraphon SU 3584-2 111,2
the musical heritage society Inc. MHS 1060,1
Mozown,1
Ghettophiles,3
"Harmonia Mundi (CD, HMC 901682)",2
Stereo PHS900-159,1
Tzadik,286
Black & Blue (33.043),1
Records International,2
X5 Music Group,2
ProPiano Records,1
pigs on corn,1
LDR 71026,2
Chessmates,2
Grammofon AB Bis,3
nova musicha n.1,2
"Teldec Classics, CD 8573 87193-2",2
Salmarsi Records,2
Black Saint 120015-2,1
Angel (LP S-37124),1
Ultra Excema,7
Decca Record Company,1
Kicking Mule Records,9
PI Recordings,2
TZ 7603,1
Housepig,1
Alligator Records,2
SABA,1
Neos 41008,1
Ace Records CH68,1
CD / Elektra 9 79187-2,1
Monitor MC 2099,1
Agaric Records,6
Lovely Music VR 1013,2
Rounder 2013,11
Epic (LN 3252),2
Arbiter 60490701112-3,4
Raybone,3
Deep Listening DL 22-2004 CD,1
Strata East,22
PSI,1
PSF,1
whaling city sound,1
CD/harmonia mundi,1
Dreyfus,10
Command Classics 11027,1
Omnium Recordings,5
Sound@One 1,1
CIMP #264,5
Hänssler 120,1
Emotional Rescue,1
Astrée Audvidis AS 128528,1
CD (SMK 68 335),1
Hänssler 129,1
"Dorian Recordings DOR-90154, CD",11
Columbia CS 9149,1
Peyote Tapes,2
Highland Music,4
Astrée ; AS 59 (LP),2
ECM New Series 1959,1
Karl Records,1
BJU Records,2
Music Gallery Editions #3,1
Ben-Jam Music,1
Atlantic SD 1552,2
"Improvising Artists, Inc.",2
Astree naive (CD E 8821),1
Noneusch,1
Smithsonian Folkways CD SF 40043,7
VHF Records,11
Tomato,6
Blue Note 1539,1
Recorded for French Radio 1947,1
Columbia/Odyssey Y2 35239,1
Stereo 2534 001 Digital Recording,1
Six Degrees,4
Samadhisound,1
SRP,6
Deutsche Grammophon (CD  415 509-2),1
Blue Note (1550),2
Columbia House (P4M 5678),1
The Grey Area,1
Showboat,3
minor music,3
Telarc CD-80618,2
Sony Classical SK 61753 (CD),2
Deutsche Grammaphon 2530 771,1
Cave Life,1
Prestige 7236,1
Stride Records LP-8808,1
Crescendo Records,1
Constellation,6
"Qwest, Presitge",1
MHS 1895,1
These Records,1
MK 1572,1
Stereophonic 9462,1
Columbia MS 7098,3
Bandy Productions,1
UTR 4074,1
CD / NA018,1
Casablanca Records,1
Archipel,1
Mosaic Box Set,2
Capital,3
TBTMO Records 27,1
Melodiya,38
Krank 036,1
Atlantic SD 1534,1
Gromoga Records (gro 10501),2
CD Cambria,2
Avant AVAN 018,1
Lost & Found Records,1
CBS Inc.,3
SM2K 52 615,1
W6S-8308,1
LC 0358,1
Atco 1972,1
HEP CD 1086,1
Affinity (AFF 8),2
CD/Kontrapunkt,1
foton,1
Linfair Magnetic Sounds,1
CD / Bridge 9275A/B,1
Decca 213002,1
Giants of Jazz,8
RCA AFL1-5181,1
United Dairies  (UDO 39CD),1
Centaur (CD 3023),1
Philips 416 808-1,2
Prestige PRCD-24286-2,1
ECM New Series 78118-21520-2,2
No Man's Land,13
Artist Share,2
Société Française de Productions Phonographiques,1
Time 52087,1
EBR,1
CRI SD 344,1
Indian Archive Music,1
J. Haydn,2
Blue Note (BST 84237),1
clean feed,3
Denouement Records 1013,1
Capitol T226,18
Digital Stereo 447 756-2,1
CD (Oxingdale 2018),2
CD/Fuga,2
Pumpkin,2
Archiv / LP,1
Digital Stereo 453 487-2,2
"Epic, 1971",2
Jingwen Records,2
Collector 2 Collector Enterprises,1
La Scie Doree,2
Strata-East SES19734,1
Black Saint Records,2
Universal Music Enterprises,2
AUM091,1
TLP 1029,1
LP (ECM 1316),1
Sony Classical SK 53 960,2
Coppens,1
TLP 1020,17
Raretone Music Library,1
Morgran,5
Music Masters 65090-2,1
EMI/Angel,1
Rounder 0251,1
CD/ Music Masters,2
RTR 24003,2
Frederic Chopin,3
Spotlite SPJ139,2
Biophilia,2
BIS CD-377,1
Cadet 4049,1
Agaric,15
Composers Recordings 281,2
Sony SK 44939,1
Monitor Collections Seires,1
Further,1
Intermusique,1
Vox (1962 recording),1
Abyss,2
Prestige OJC-016,1
Riverside 290,1
LP/Fore,1
RCA LSC 7051,1
Minstrel JD-203,1
Trip Jazz (TLP-5029),1
Saja,2
Norton,14
Columbia ML 6178,1
Horizon: A&M Records Inc. SP-710,1
Fringes,1
OKeh 6725,1
Sackville 3002,1
EMI ASD 3190,1
Kairos 0012332 KAI,1
Bo Weavil,1
Prestige 2/20/53,2
CD / Centrediscs,4
Columbia M 31074,1
RCA (LP LSC-3100),1
Soul Note 1022,1
Hyperion CDH55311,1
Emarcy,46
LP (Nonesuch 7559-79106-1),2
Harrison LP-N,1
Musicaphon LC 0522,1
Blue Note (BLP 4063),1
Durian 012-2,1
Bluebird B-8133,1
32 16 0368,1
"Dorian, CD, DOR-91228",1
W.A. Mozart,10
Teldec 9031-74719-2 (CD),1
Cri Cd 820,1
OR,2
Stretch Records,5
Obscure,1
MPS,18
ECM 1482,1
Stetson Records,2
NorthSide 1998,13
Ocarina,1
Black Saint BSR 0025,1
Archive: ARC 3077,1
Bluebird 7047,1
LP (Decca 710159),1
"Telefunken (LP, SAWT 9501/02-A)",1
Sony Classical (CD SK 62822),1
Disques Swing,3
CD / Black Box 1029,1
S 108 841 A,2
Harmonia Mundi 901388 (CD),2
RCA NE2,1
New World Records 80391-2 (CD),2
Silent,3
Erato 4509-96392-2 (CD).,1
New World Records (CD 80655-2),1
Stockhausen Verlag 49B,1
Lox & Flossy Music,1
Montaigne MO 782004,2
Muse Records MR 5160,1
Westminster WL 5148,1
"Archiv Produktion (LP, Archiv 2533377)",1
Cedille,13
Barely Auditable bar000,2
strange & beautiful music,1
Inner City 2060,5
Arhoolie,125
Riverside RS-3018,1
Gbico,1
LP / Opus One 118,1
Musidisc (MU-500572-777),1
First Time Records FTR-1508,1
Bug Incision (micro editions),1
Meta records,6
OD 12004,6
"Recorded live, Sept. 20, 2003 at  the 46th Warsaw International Festival of Contemporary Music",1
XI Records,5
Nukem Music,1
Jazz Connoisseur,5
S-36506,1
Soul Note SN 1046,1
County,151
